Link,Predict
https://www.hamshahrionline.ir/news/503910/پرترافیک-ترین-جاده-های-ایران-پس-از-پایان-ممنوعیت-ترددهای-بین-استانی,4
https://www.hamshahrionline.ir/news/503441/نخستین-کاروان-حج-۹۹-ششم-تیر-اعزام-می-شود,4
https://www.hamshahrionline.ir/news/503002/ممنوعیت-ترددهای-بین-استانی-لغو-شد,4
https://www.hamshahrionline.ir/news/502442/نکات-ضدکرونایی-که-باید-در-سفرهای-ضروری-رعایت-کنید,4
https://www.hamshahrionline.ir/news/499583/چطور-بفهمیم-ممنوع-الخروجیم-امکان-اطلاع-از-ممنوع-الخروجی-فراهم,4
https://www.hamshahrionline.ir/news/499530/ممنوعیت-تردد-پلاک-های-غیربومی-تا-کی-ادامه-دارد,4
https://www.hamshahrionline.ir/news/498104/مردم-کدام-استان-ها-در-نوروز-بیشتر-به-مازندران-سفر-کردند-تردد,0
https://www.hamshahrionline.ir/news/497814/پیشنهاد-وزیر-گردشگری-برای-تعیین-تعطیلی-پس-از-کرونا,4
https://www.hamshahrionline.ir/news/496981/وضعیت-تردد-در-محورهای-برون-شهری-کشور-در-شبانه-روز-گذشته,0
https://www.hamshahrionline.ir/news/496976/کاهش-۵۷-درصدی-ترددها-۳۰-هزار-خودرو-هنوز-به-شهرهای-مبدأ-بازنگشته-اند,4
https://www.hamshahrionline.ir/news/496543/کاهش-۶۲-درصدی-سفرها-در-۱۵-روز-گذشته-۹۰-هزار-خودرو-از-آغاز-فاصله-گذاری,4
https://www.hamshahrionline.ir/news/496296/چقدر-از-بار-ترافیکی-جاده-ها-با-طرح-فاصله-گذاری-اجتماعی-کم-شد,4
https://www.hamshahrionline.ir/news/496290/ممنوعیت-ورود-خودروهای-پلاک-شهرستان-به-تهران-توقیف-یک-ماهه-خودروهای,4
https://www.hamshahrionline.ir/news/496271/وضعیت-راه-ها-بارش-برف-و-باران-در-محورهای-١٣-استان,4
https://www.hamshahrionline.ir/news/495410/خروج-خودروها-از-استان-تهران-ممنوع-شد-کدام-خودروها-مستثنی-شدند,4
https://www.hamshahrionline.ir/news/495215/هر-۸۰-دقیقه-یک-نفر-در-تصادفات-نوروزی-فوت-می-کند-آمار-مصدومان,4
https://www.hamshahrionline.ir/news/494964/سفرهای-نوروزی-چقدر-کاهش-یافتند-ماموران-پلیس-در-ماموریت-ها,0
https://www.hamshahrionline.ir/news/494915/آمار-عجیب-مسافران-تهرانی-دارای-علائم-کرونا-که-از-خروج-آنها-جلوگیری,4
https://www.hamshahrionline.ir/news/494819/شیوه-مجرمانه-و-غیراخلاقی-برخی-مسافران-نوروزی-برای-ورود-به-شهرها,4
https://www.hamshahrionline.ir/news/494697/فیلم-وضعیت-ورودی-شهرهای-شیراز-و-رشت-در-ایام-نوروز,4
https://www.hamshahrionline.ir/news/494472/فیلم-نام-این-مسافران-را-چه-باید-گذاشت,4
https://www.hamshahrionline.ir/news/494490/خروج-۳-میلیون-نفر-از-۱۳-استان-کشور-در-۴-روز-چه-تعداد-علائم,4
https://www.hamshahrionline.ir/news/494492/فیلم-اینجا-جاده-تهران-مشهد-آمده-ایم-به-امید-خدا-کرونا,4
https://www.hamshahrionline.ir/news/494207/ورود-۵۹-هزار-خودرو-به-مشهد-باید-در-انتظار-فاجعه-انسانی-بنشینیم,4
https://www.hamshahrionline.ir/news/494081/سفرها-و-بازدیدها-در-عید-کرونایی-این-آگهی-ترحیم-از-آینده-خبر,4
https://www.hamshahrionline.ir/news/494065/مقایسه-تردد-در-جاده-ها-طی-۲۴-ساعت-اخیر-با-مدت-مشابه-در-سال-گذشته,4
https://www.hamshahrionline.ir/news/494035/پیشنهاد-یک-نماینده-به-خودروهای-غیر-بومی-بنزین-ندهید,4
https://www.hamshahrionline.ir/news/493878/سفر-نروید-هفته-اول-فروردین-اوج-اپیدمی-کرونا-در-ایران-است,4
https://www.hamshahrionline.ir/news/493894/عکس-وضعیت-عجیب-عوارضی-تهران-قم-مردم-کرونا-را-جدی-نگرفته-اند,4
https://www.hamshahrionline.ir/news/493784/فیلم-ترافیک-در-جاده-های-هراز-و-فیروزکوه-مردمی-که-توجهی-به,4
https://www.hamshahrionline.ir/news/504089/پاسخ-توییتری-وزیر-ارتباطات-به-خبرنگار-AP-درباره-برنامه-فضایی,4
